season,game_type,team,week,Player,Position,Injury,Wed,Thu,Fri,Game Status,Mon,Tue,Sat
2025,REG,BUF,6,Taylor Rapp,S,Nose,,LP,FP,(-),,,FP
2025,REG,BUF,6,Curtis Samuel,WR,Neck/Ribs,,LP,DNP,QUESTIONABLE,,,LP
2025,REG,BUF,6,T.J. Sanders,DT,Knee,,DNP,DNP,OUT,,,DNP
2025,REG,BUF,6,Dorian Williams,LB,Knee,,LP,FP,(-),,,FP
2025,REG,BUF,8,Terrel Bernard,LB,Ankle,LP,LP,LP,QUESTIONABLE,,,
2025,REG,BUF,8,Maxwell Hairston,CB,Knee,LP,LP,LP,QUESTIONABLE,,,
2025,REG,BUF,8,DaQuan Jones,DT,Calf,DNP,DNP,DNP,OUT,,,
2025,REG,BUF,8,Dalton Kincaid,TE,Oblique,LP,LP,LP,QUESTIONABLE,,,
2025,REG,BUF,8,Matt Milano,LB,Pectoral,LP,LP,LP,QUESTIONABLE,,,
2025,REG,BUF,8,Josh Palmer,WR,Knee/Ankle,DNP,DNP,DNP,OUT,,,
2025,REG,BUF,8,Taylor Rapp,S,Knee,DNP,DNP,DNP,OUT,,,
2025,REG,BUF,8,Curtis Samuel,WR,Ribs,LP,LP,FP,(-),,,
2025,REG,BUF,9,Terrel Bernard,LB,Ankle,FP,FP,FP,(-),,,
2025,REG,BUF,9,Joey Bosa,DE,Vet Rest,LP,FP,FP,UNSPECIFIED,,,
2025,REG,BUF,9,Ray Davis,RB,Illness,DNP,FP,FP,UNSPECIFIED,,,
2025,REG,BUF,9,DaQuan Jones,DT,Calf,DNP,DNP,DNP,OUT,,,
2025,REG,BUF,9,Josh Palmer,WR,Knee/Ankle,DNP,LP,LP,OUT,,,
2025,REG,BUF,9,Jordan Phillips,DT,Vet Rest,LP,FP,FP,(-),,,
2025,REG,BUF,9,Matt Milano,LB,Pectoral,FP,FP,FP,(-),,,
2025,REG,BUF,9,Matt Prater,K,Right Calf,LP,LP,LP,UNSPECIFIED,,,
2025,REG,BUF,9,Shaq Thompson,OLB,Hamstring,LP,DNP,DNP,OUT,,,
2025,REG,BUF,9,Taron Johnson,CB,Groin,(-),,LP,QUESTIONABLE,,,
2025,REG,BUF,10,Christian Benford,CB,Groin,LP,DNP,LP,QUESTIONABLE,,,
2025,REG,BUF,10,Terrel Bernard,LB,Ankle,LP,FP,FP,(-),,,
2025,REG,BUF,10,Joey Bosa,DE,Wrist,DNP,LP,FP,(-),,,
2025,REG,BUF,10,James Cook,RB,Ankle,DNP,LP,FP,(-),,,
2025,REG,BUF,10,A.J. Epenesa,DE,Concussion,DNP,DNP,DNP,OUT,,,
2025,REG,BUF,10,Taron Johnson,CB,Groin,DNP,LP,LP,QUESTIONABLE,,,
2025,REG,BUF,10,DaQuan Jones,DT,Calf,DNP,LP,LP,QUESTIONABLE,,,
2025,REG,BUF,10,Josh Palmer,WR,Knee/Ankle,DNP,LP,LP,QUESTIONABLE,,,
2025,REG,BUF,10,Jordan Phillips,DT,Wrist,FP,FP,FP,(-),,,
2025,REG,BUF,10,Shaq Thompson,OLB,Hamstring,DNP,DNP,DNP,OUT,,,
2025,REG,BUF,10,Sam Franklin Jr.,DB,Illness,,DNP,FP,(-),,,
2025,REG,MIA,1,Ethan Bonner,CB,Hamstring,DNP,DNP,DNP,OUT,,,
2025,REG,MIA,1,Darren Waller,TE,Hip,DNP,DNP,DNP,OUT,,,
2025,REG,MIA,1,Jaylen Wright,RB,Knee,DNP,DNP,DNP,OUT,,,
2025,REG,MIA,1,De'Von Achane,RB,Calf,LP,LP,FP,(-),,,
2025,REG,MIA,1,James Daniels,OL,Ankle,,LP,DNP,QUESTIONABLE,,,
2025,REG,MIA,1,Ashtyn Davis,S,Calf,LP,LP,FP,(-),,,
2025,REG,MIA,1,Dee Eskridge,WR,Concussion,LP,LP,LP,QUESTIONABLE,,,
2025,REG,MIA,1,Tyreek Hill,WR,Oblique / Calf,LP,LP,FP,(-),,,
2025,REG,MIA,1,Ifeatu Melifonwu,S,Hamstring,FP,FP,FP,(-),,,
2025,REG,MIA,1,Storm Duck,CB,Hip,FP,FP,FP,(-),,,
2025,REG,MIA,1,Austin Jackson,OL,Toe,LP,FP,FP,(-),,,
2025,REG,MIA,1,Julian Hill,TE,Shoulder,FP,FP,FP,(-),,,
2025,REG,MIA,1,Dante Trader Jr.,S,Hamstring,FP,FP,FP,(-),,,
2025,REG,MIA,1,Elijah Campbell,DB,Knee,,LP,FP,(-),,,
2025,REG,MIA,2,Ethan Bonner,CB,Hamstring,DNP,DNP,LP,DOUBTFUL,,,
2025,REG,MIA,2,Ashtyn Davis,S,Knee,LP,LP,LP,QUESTIONABLE,,,
2025,REG,MIA,2,Storm Duck,CB,Ankle,DNP,DNP,DNP,OUT,,,
2025,REG,MIA,2,Austin Jackson,OL,Toe,DNP,DNP,DNP,OUT,,,
2025,REG,MIA,2,Benito Jones,DT,Oblique,DNP,DNP,DNP,OUT,,,
2025,REG,MIA,2,Jaylen Waddle,WR,Shoulder,LP,LP,FP,(-),,,
2025,REG,MIA,2,Darren Waller,TE,Hip,DNP,DNP,DNP,OUT,,,
2025,REG,MIA,2,Jaylen Wright,RB,Knee,DNP,LP,LP,DOUBTFUL,,,
2025,REG,MIA,3,Storm Duck,CB,Ankle,DNP,,,OUT,DNP,DNP,
2025,REG,MIA,3,Ifeatu Melifonwu,S,Calf,DNP,,,OUT,DNP,DNP,
2025,REG,MIA,3,Ethan Bonner,CB,Hamstring,FP,,,(-),LP,LP,
2025,REG,MIA,3,Aaron Brewer,OL,Hip,FP,,,(-),LP,LP,
2025,REG,MIA,3,Benito Jones,DT,Oblique,LP,,,QUESTIONABLE,LP,LP,
2025,REG,MIA,3,Chop Robinson,LB,Knee,LP,,,QUESTIONABLE,LP,LP,
2025,REG,MIA,3,Jaylen Waddle,WR,Shoulder,LP,,,QUESTIONABLE,(-),LP,
2025,REG,MIA,3,Darren Waller,TE,Hip,LP,,,OUT,LP,LP,
2025,REG,MIA,3,Malik Washington,WR,Thumb,FP,,,(-),LP,LP,
2025,REG,MIA,3,Jaylen Wright,RB,Knee,FP,,,(-),LP,LP,
2025,REG,MIA,4,Storm Duck,CB,Ankle,,DNP,DNP,OUT,,,DNP
2025,REG,MIA,4,Jason Marshall Jr.,CB,Hamstring,,DNP,DNP,OUT,,,DNP
2025,REG,MIA,4,Ethan Bonner,CB,Hamstring,,(-),(-),QUESTIONABLE,,,FP
2025,REG,MIA,4,Tyreek Hill,WR,Not Injury Related - Personal,,(-),(-),(-),,,DNP
2025,REG,MIA,4,Darren Waller,TE,Hip,,LP,LP,(-),,,LP
2025,REG,MIA,4,Ifeatu Melifonwu,S,Calf,,FP,FP,(-),,,FP
2025,REG,MIA,4,Jaylen Waddle,WR,Shoulder,,LP,FP,(-),,,FP
2025,REG,MIA,5,Storm Duck,CB,Ankle,DNP,DNP,DNP,OUT,,,
2025,REG,MIA,5,Cedrick Wilson Jr.,WR,Knee,DNP,DNP,DNP,OUT,,,
2025,REG,MIA,5,Alec Ingold,FB,Rest,(-),LP,(-),(-),,,
2025,REG,MIA,5,Darren Waller,TE,Hip/Rest,LP,LP,LP,(-),,,
2025,REG,MIA,5,Ethan Bonner,CB,Hamstring,LP,LP,FP,(-),,,
2025,REG,MIA,5,Jordyn Brooks,LB,Elbow,FP,FP,FP,(-),,,
2025,REG,MIA,5,Jonah Savaiinaea,OL,Knee,FP,FP,FP,(-),,,
2025,REG,MIA,6,Elijah Campbell,DB,Quadricep,LP,DNP,DNP,OUT,,,
2025,REG,MIA,6,Tyrel Dodson,LB,Concussion,DNP,DNP,LP,OUT,,,
2025,REG,MIA,6,Aaron Brewer,OL,Pectoral,LP,LP,LP,QUESTIONABLE,,,
2025,REG,MIA,6,Storm Duck,CB,Ankle,LP,LP,LP,QUESTIONABLE,,,
2025,REG,MIA,6,Darren Waller,TE,Hip/Rest,DNP,LP,LP,(-),,,
2025,REG,MIA,6,Cedrick Wilson Jr.,WR,Knee,LP,LP,FP,(-),,,
2025,REG,MIA,6,Larry Borom,OL,Thumb,LP,FP,FP,(-),,,
2025,REG,MIA,6,Tua Tagovailoa,QB,Hip/Left Thumb,LP,FP,FP,(-),,,
2025,REG,MIA,7,Elijah Campbell,DB,Quadricep,DNP,DNP,DNP,OUT,,,
2025,REG,MIA,7,Tyrel Dodson,LB,Concussion,FP,FP,FP,(-),,,
2025,REG,MIA,7,Storm Duck,CB,Ankle,FP,FP,FP,QUESTIONABLE,,,
2025,REG,MIA,7,Darren Waller,TE,Hip/Rest,LP,LP,LP,(-),,,
2025,REG,MIA,7,Aaron Brewer,OL,Pectoral,LP,LP,FP,(-),,,
2025,REG,MIA,7,Jordyn Brooks,LB,Neck,LP,FP,FP,(-),,,
2025,REG,MIA,7,Alec Ingold,FB,Neck/Rest,DNP,FP,FP,(-),,,
2025,REG,MIA,7,Tua Tagovailoa,QB,Left Thumb,FP,FP,FP,(-),,,
2025,REG,MIA,7,Dante Trader Jr.,S,Shoulder,LP,FP,FP,(-),,,
2025,REG,MIA,7,Cedrick Wilson Jr.,WR,Knee,FP,FP,FP,(-),,,
2025,REG,MIA,8,Julian Hill,TE,Ankle,DNP,DNP,DNP,OUT,,,
2025,REG,MIA,8,Jason Marshall Jr.,CB,Hamstring,LP,LP,LP,OUT,,,
2025,REG,MIA,8,Aaron Brewer,OL,Pectoral,LP,FP,FP,(-),,,
2025,REG,MIA,8,Elijah Campbell,DB,Quadricep,DNP,LP,FP,(-),,,
2025,REG,MIA,8,Storm Duck,CB,Ankle,FP,FP,FP,(-),,,
2025,REG,MIA,8,Kenneth Grant,DT,Foot,FP,FP,FP,(-),,,
2025,REG,MIA,8,Jordan Phillips,DT,Finger,(-),FP,FP,(-),,,
2025,REG,MIA,8,Tua Tagovailoa,QB,Left Thumb/Illness,FP,FP,FP,(-),,,
2025,REG,MIA,8,Dante Trader Jr.,S,Shoulder,LP,FP,FP,(-),,,
2025,REG,MIA,8,Jaylen Waddle,WR,Hamstrings/Rest,(-),LP,FP,(-),,,
2025,REG,MIA,9,Julian Hill,TE,Ankle,DNP,,,OUT,DNP,DNP,
2025,REG,MIA,9,Ashtyn Davis,S,Quadricep,DNP,,,DOUBTFUL,DNP,DNP,
2025,REG,MIA,9,Bradley Chubb,LB,Shoulder/Foot,LP,,,QUESTIONABLE,DNP,LP,
2025,REG,MIA,9,Dee Eskridge,WR,Shoulder,FP,,,QUESTIONABLE,DNP,LP,
2025,REG,MIA,9,Jason Marshall Jr.,CB,Hamstring,FP,,,QUESTIONABLE,FP,FP,
2025,REG,MIA,9,Ifeatu Melifonwu,S,Thumb,FP,,,QUESTIONABLE,LP,LP,
2025,REG,MIA,9,Elijah Campbell,DB,Quadricep,FP,,,(-),FP,FP,
2025,REG,MIA,9,Minkah Fitzpatrick,S,Thumb,FP,,,(-),FP,FP,
2025,REG,MIA,9,Alec Ingold,FB,Neck,FP,,,(-),FP,FP,
2025,REG,MIA,9,Tua Tagovailoa,QB,Left Thumb/ Illness,FP,,,(-),FP,FP,
2025,REG,MIA,9,Dante Trader Jr.,S,Shoulder,FP,,,(-),FP,FP,
2025,REG,MIA,9,Malik Washington,WR,Knee,FP,,,(-),FP,FP,
2025,REG,MIA,10,Dee Eskridge,WR,Shoulder,DNP,DNP,DNP,OUT,,,
2025,REG,MIA,10,Rasul Douglas,CB,Foot/Ankle,DNP,DNP,DNP,DOUBTFUL,,,
2025,REG,MIA,10,Chop Robinson,LB,Concussion,DNP,DNP,LP,OUT,,,
2025,REG,MIA,10,Ashtyn Davis,S,Quadricep,LP,LP,LP,QUESTIONABLE,,,
2025,REG,MIA,10,Ollie Gordon II,RB,Ankle,LP,LP,LP,QUESTIONABLE,,,
2025,REG,MIA,10,Julian Hill,TE,Ankle,LP,LP,LP,QUESTIONABLE,,,
2025,REG,MIA,10,Ifeatu Melifonwu,S,Thumb/Foot,DNP,LP,LP,QUESTIONABLE,,,
2025,REG,MIA,10,Bradley Chubb,LB,Foot,LP,LP,FP,(-),,,
2025,REG,MIA,10,Minkah Fitzpatrick,S,Thumb,FP,FP,FP,(-),,,
2025,REG,MIA,10,Alec Ingold,FB,Neck,FP,FP,FP,(-),,,
2025,REG,MIA,10,Zach Sieler,DT,Shoulder,LP,LP,FP,(-),,,
2025,REG,MIA,10,Dante Trader Jr.,S,Shoulder,FP,FP,FP,(-),,,
2025,REG,MIA,10,Jaylen Waddle,WR,Foot,FP,FP,FP,(-),,,
2025,REG,NE,1,Christian Gonzalez,CB,Hamstring,DNP,DNP,DNP,OUT,,,
2025,REG,NE,1,Will Campbell,OT,Ankle,,LP,LP,QUESTIONABLE,,,
2025,REG,NE,1,Charles Woods,CB,Concussion / Groin,LP,FP,FP,QUESTIONABLE,,,
2025,REG,NE,1,Christian Barmore,DT,Not Injury Related,,LP,LP,UNSPECIFIED,,,
2025,REG,NE,1,Efton Chism III,WR,Knee,FP,FP,FP,UNSPECIFIED,,,
2025,REG,NE,2,Christian Barmore,DT,Not Injury Related,,LP,FP,(-),,,
2025,REG,NE,2,Christian Gonzalez,CB,Hamstring,DNP,DNP,DNP,OUT,,,
2025,REG,NE,2,Harold Landry III,LB,Foot,DNP,LP,FP,(-),,,
2025,REG,NE,2,Morgan Moses,OT,Foot,DNP,LP,LP,QUESTIONABLE,,,
2025,REG,NE,2,Keion White,DE,Illness,DNP,DNP,DNP,OUT,,,
2025,REG,NE,2,Kayshon Boutte,WR,Shoulder,LP,LP,FP,(-),,,
2025,REG,NE,2,Marte Mapu,LB,Neck,LP,LP,LP,QUESTIONABLE,,,
2025,REG,NE,2,Christian Elliss,LB,Shoulder,LP,LP,FP,(-),,,
2025,REG,NE,2,Charles Woods,CB,Groin,FP,FP,FP,(-),,,
2025,REG,NE,3,Christian Gonzalez,CB,Hamstring,LP,LP,LP,OUT,,,
2025,REG,NE,3,Jack Westover,FB,Hamstring,LP,LP,LP,QUESTIONABLE,,,
2025,REG,NE,3,Keion White,DE,Illness,DNP,FP,FP,QUESTIONABLE,,,
2025,REG,NE,3,Christian Barmore,DT,Not Injury Related / Other,LP,FP,LP,(-),,,
2025,REG,NE,3,K'Lavon Chaisson,LB,Hamstring,LP,LP,FP,(-),,,
2025,REG,NE,3,Carlton Davis III,CB,Achilles,LP,LP,FP,(-),,,
2025,REG,NE,3,Harold Landry III,LB,Foot,LP,LP,FP,(-),,,
2025,REG,NE,3,Marte Mapu,LB,Neck,LP,LP,FP,(-),,,
2025,REG,NE,3,Morgan Moses,OT,Foot,LP,LP,FP,(-),,,
2025,REG,NE,3,Jared Wilson,OL,Thigh,LP,LP,FP,(-),,,
2025,REG,NE,4,Jared Wilson,OL,Ankle / Knee,DNP,DNP,DNP,OUT,,,
2025,REG,NE,4,K'Lavon Chaisson,LB,Knee,DNP,LP,FP,QUESTIONABLE,,,
2025,REG,NE,4,Christian Gonzalez,CB,Hamstring,LP,LP,LP,QUESTIONABLE,,,
2025,REG,NE,4,Mike Onwenu,OL,Shoulder,,,FP,QUESTIONABLE,,,
2025,REG,NE,4,Christian Barmore,DT,Not Injury Related / Other,LP,FP,FP,(-),,,
2025,REG,NE,4,Carlton Davis III,CB,Achilles,FP,FP,FP,(-),,,
2025,REG,NE,4,Hunter Henry,TE,Knee,FP,FP,FP,(-),,,
2025,REG,NE,4,Anfernee Jennings,LB,Hamstring,FP,LP,FP,(-),,,
2025,REG,NE,4,Mack Hollins,WR,Hand,FP,FP,FP,(-),,,
2025,REG,NE,4,Marte Mapu,LB,Neck,FP,LP,FP,(-),,,
2025,REG,NE,5,K'Lavon Chaisson,LB,Knee,DNP,LP,DNP,OUT,,,
2025,REG,NE,5,Jaylinn Hawkins,S,Hamstring,DNP,LP,FP,UNSPECIFIED,,,
2025,REG,NE,5,Christian Barmore,DT,Not Injury Related / Other,LP,FP,FP,UNSPECIFIED,,,
2025,REG,NE,5,Milton Williams,DT,Ankle,LP,DNP,LP,QUESTIONABLE,,,
2025,REG,NE,5,Jared Wilson,OL,Ankle / Knee,LP,FP,FP,UNSPECIFIED,,,
2025,REG,NE,5,Will Campbell,OT,Shoulder,FP,FP,FP,UNSPECIFIED,,,
2025,REG,NE,5,Marte Mapu,LB,Neck,FP,LP,FP,UNSPECIFIED,,,
2025,REG,NE,5,Mike Onwenu,OL,Shoulder,FP,FP,FP,UNSPECIFIED,,,
2025,REG,NE,5,Jahlani Tavai,LB,Calf,FP,FP,FP,QUESTIONABLE,,,
2025,REG,NE,5,Carlton Davis III,CB,Illness,,LP,FP,QUESTIONABLE,,,
2025,REG,NE,6,Antonio Gibson,RB,Knee,DNP,DNP,DNP,OUT,,,
2025,REG,NE,6,Jaylinn Hawkins,S,Hamstring,DNP,DNP,DNP,OUT,,,
2025,REG,NE,6,Anfernee Jennings,LB,Ankle,LP,DNP,DNP,OUT,,,
2025,REG,NE,6,Keion White,DE,Elbow,DNP,DNP,DNP,OUT,,,
2025,REG,NE,6,K'Lavon Chaisson,LB,Knee,LP,LP,FP,(-),,,
2025,REG,NE,6,Joshua Farmer,DT,Ankle,LP,LP,FP,(-),,,
2025,REG,NE,6,Christian Gonzalez,CB,Hamstring,,LP,LP,QUESTIONABLE,,,
2025,REG,NE,6,Marte Mapu,LB,Hamstring / Neck,FP,LP,LP,QUESTIONABLE,,,
2025,REG,NE,6,Milton Williams,DT,Ankle / Illness,LP,LP,FP,QUESTIONABLE,,,
2025,REG,NE,6,Christian Barmore,DT,Not Injury Related / Other,LP,FP,FP,(-),,,
2025,REG,NE,6,Mike Onwenu,OL,Shoulder / Thigh,LP,FP,FP,(-),,,
2025,REG,NE,6,Charles Woods,CB,Knee,,,LP,QUESTIONABLE,,,
2025,REG,NE,7,Jaylinn Hawkins,S,Hamstring,DNP,LP,LP,QUESTIONABLE,,,
2025,REG,NE,7,Anfernee Jennings,LB,Ankle,DNP,LP,FP,(-),,,
2025,REG,NE,7,Harold Landry III,LB,Ankle,DNP,DNP,FP,QUESTIONABLE,,,
2025,REG,NE,7,Christian Barmore,DT,Not Injury Related - Other,LP,FP,FP,(-),,,
2025,REG,NE,7,Stefon Diggs,WR,Chest,LP,LP,FP,QUESTIONABLE,,,
2025,REG,NE,7,Morgan Moses,OT,Hip,LP,LP,FP,(-),,,
2025,REG,NE,7,Charles Woods,CB,Knee,LP,DNP,DNP,QUESTIONABLE,,,
2025,REG,NE,7,Christian Gonzalez,CB,Hamstring,FP,FP,FP,(-),,,
2025,REG,NE,7,Keion White,DE,Elbow,FP,FP,FP,(-),,,
2025,REG,NE,7,Marte Mapu,LB,Neck,,LP,FP,(-),,,
2025,REG,NE,8,Elijah Ponder,LB,Knee,DNP,LP,FP,(-),,,
2025,REG,NE,8,Harold Landry III,LB,Ankle,LP,LP,FP,(-),,,
2025,REG,NE,8,Craig Woodson,S,Ankle,DNP,LP,FP,(-),,,
2025,REG,NE,8,Christian Barmore,DT,Not Injury Related / Other,LP,FP,FP,(-),,,
2025,REG,NE,8,Stefon Diggs,WR,Chest,LP,LP,FP,(-),,,
2025,REG,NE,8,Morgan Moses,OT,Not Injury Related / Other,LP,LP,FP,(-),,,
2025,REG,NE,8,Khyiris Tonga,DL,Knee,LP,LP,FP,(-),,,
2025,REG,NE,8,Christian Gonzalez,CB,Hamstring,FP,FP,FP,(-),,,
2025,REG,NE,8,Jaylinn Hawkins,S,Hamstring,FP,FP,FP,(-),,,
2025,REG,NE,8,Charles Woods,CB,Knee,FP,FP,FP,(-),,,
2025,REG,NE,8,Kyle Dugger,SAF,Knee,,LP,LP,QUESTIONABLE,,,
2025,REG,NE,9,Rhamondre Stevenson,RB,Toe,DNP,DNP,DNP,OUT,,,
2025,REG,NE,9,Morgan Moses,OT,Not Injury Related - Rest,DNP,FP,FP,(-),,,
2025,REG,NE,9,Christian Barmore,DT,Not Injury Related - Other,LP,FP,FP,(-),,,
2025,REG,NE,9,Garrett Bradbury,C,Toe,LP,FP,FP,(-),,,
2025,REG,NE,9,Stefon Diggs,WR,Ankle,LP,FP,FP,(-),,,
2025,REG,NE,9,Khyiris Tonga,DL,Knee,,FP,FP,(-),,,
2025,REG,NE,10,Kayshon Boutte,WR,Hamstring,DNP,DNP,DNP,OUT,,,
2025,REG,NE,10,Garrett Bradbury,C,Hip,DNP,LP,FP,(-),,,
2025,REG,NE,10,Christian Elliss,LB,Hip,DNP,DNP,DNP,OUT,,,
2025,REG,NE,10,Joshua Farmer,DT,Ankle,DNP,LP,FP,(-),,,
2025,REG,NE,10,Rhamondre Stevenson,RB,Toe,DNP,DNP,DNP,OUT,,,
2025,REG,NE,10,Christian Gonzalez,CB,Gameday Concussion Protocol,FP,(-),(-),(-),,,
2025,REG,NE,10,Marte Mapu,LB,Neck,FP,LP,FP,(-),,,
2025,REG,NE,11,Will McDonald IV,DE,Quadriceps,,,,UNSPECIFIED,DNP,LP,
2025,REG,NE,11,Harrison Phillips,DT,Foot,,,,UNSPECIFIED,DNP,DNP,
2025,REG,NE,11,Azareye'h Thomas,CB,Concussison,,,,UNSPECIFIED,DNP,DNP,
2025,REG,NE,11,Garrett Wilson,WR,Knee,,,,UNSPECIFIED,DNP,DNP,
2025,REG,NE,11,Xavier Newman-Johnson,G,Ankle,,,,UNSPECIFIED,LP,FP,
2025,REG,NE,11,Khalil Herbert,RB,Groin,,,,UNSPECIFIED,LP,FP,
2025,REG,NE,11,Braiden McGregor,DE,Shoulder,,,,UNSPECIFIED,LP,LP,
2025,REG,NE,11,Francisco Mauigoa,LB,Concussion,,,,UNSPECIFIED,FP,FP,
2025,REG,NYJ,1,Chukwuma Okorafor,OL,Hand,DNP,LP,LP,QUESTIONABLE,,,
2025,REG,NYJ,1,Alijah Vera-Tucker,G,Triceps,DNP,DNP,DNP,OUT,,,
2025,REG,NYJ,1,Sauce Gardner,CB,Fibula,LP,FP,FP,(-),,,
2025,REG,NYJ,1,Tyrod Taylor,QB,Knee,LP,FP,FP,(-),,,
2025,REG,NYJ,1,Esa Pole,OT,Ankle,(-),(-),DNP,OUT,,,
2025,REG,NYJ,2,Kene Nwangwu,RB,Hamstring,DNP,DNP,DNP,OUT,,,
2025,REG,NYJ,2,Mason Taylor,TE,Ankle,DNP,LP,FP,QUESTIONABLE,,,
2025,REG,NYJ,2,Jay Tufele,DL,Illness,DNP,DNP,DNP,OUT,,,
2025,REG,NYJ,2,Michael Carter II,CB,Shoulder,LP,LP,FP,QUESTIONABLE,,,
2025,REG,NYJ,2,Marcelino McCrary-Ball,LB,Calf,LP,FP,FP,(-),,,
2025,REG,NYJ,2,Chukwuma Okorafor,OL,Hand,LP,FP,FP,(-),,,
2025,REG,NYJ,2,Josh Reynolds,WR,Hamstring,(-),DNP,DNP,OUT,,,
2025,REG,NYJ,2,Sauce Gardner,CB,Groin,(-),LP,FP,(-),,,
2025,REG,NYJ,3,Tony Adams,S,Hip,DNP,LP,LP,OUT,,,
2025,REG,NYJ,3,Michael Carter II,CB,Shoulder,DNP,LP,FP,QUESTIONABLE,,,
2025,REG,NYJ,3,Justin Fields,QB,Concussion,DNP,DNP,DNP,OUT,,,
2025,REG,NYJ,3,Jermaine Johnson II,LB,Ankle,DNP,DNP,DNP,OUT,,,
2025,REG,NYJ,3,Kene Nwangwu,RB,Hamstring,DNP,DNP,DNP,OUT,,,
2025,REG,NYJ,3,Josh Reynolds,WR,Hamstring,DNP,DNP,DNP,OUT,,,
2025,REG,NYJ,3,Jay Tufele,DL,Illness,DNP,DNP,DNP,OUT,,,
2025,REG,NYJ,3,Marcelino McCrary-Ball,LB,Hamstring,LP,LP,FP,QUESTIONABLE,,,
2025,REG,NYJ,3,Andre Cisco,S,Shoulder,FP,FP,FP,(-),,,
2025,REG,NYJ,3,Sauce Gardner,CB,Groin,FP,FP,FP,(-),,,
2025,REG,NYJ,3,Francisco Mauigoa,LB,Elbow,FP,FP,FP,(-),,,
2025,REG,NYJ,4,Jarvis Brownlee Jr.,DB,Ankle,,DNP,DNP,OUT,,,DNP
2025,REG,NYJ,4,Jermaine Johnson II,LB,Ankle,,DNP,DNP,OUT,,,DNP
